row number,Etapas proyecto,Fecha Inicio,Fecha Fin,start row,end row,duration row,,period/symbol,start period/symbol,type period/symbol,legend,comment period/symbol,end period,duration period,label period
1,Estudio de la Tecnología,28 Noviembre,8 Febrero,11/28/2018 1:00:00 PM,2/8/2019 1:00:00 PM,52,,period:,11/28/2018 1:00:00 PM,#2775ac,Estudio de la  Tecnologia,,2/8/2019 1:00:00 PM,52,ESTUDIO TECNOLOGÍA
2,Análisis Preliminar,28 Noviembre,8 Febrero,11/28/2018 1:00:00 PM,2/8/2019 1:00:00 PM,52,,period:,11/28/2018 1:00:00 PM,#fa8115,Análisis Preliminar,,2/8/2019 1:00:00 PM,52,ANÁLISIS PRELIMINAR
2.1,Funcionalidad,,,2/7/2019 1:00:00 PM,2/8/2019 1:00:00 PM,1,,period:,2/7/2019 1:00:00 PM,#aa374f,Planificación,,2/8/2019 1:00:00 PM,1,
2.2,Prototipos de Pantalla,,,2/8/2019 1:00:00 PM,3/8/2019 1:00:00 PM,20,,period:,2/8/2019 1:00:00 PM,#7b7b2a,Desarrollo,,3/8/2019 1:00:00 PM,20,ITERACIÓN 1
2.3,Diagrama conceptual BD,,,3/8/2019 1:00:00 PM,4/5/2019 1:00:00 PM,20,,period:,3/8/2019 1:00:00 PM,#7b7b2a,Desarrollo,,4/5/2019 1:00:00 PM,20,ITERACIÓN 2
2.4,Servicio REST,,,4/5/2019 1:00:00 PM,5/3/2019 1:00:00 PM,20,,period:,4/5/2019 1:00:00 PM,#7b7b2a,Desarrollo,,5/3/2019 1:00:00 PM,20,ITERACIÓN 3
3,Planificación,7 Febrero,8 Febrero,5/3/2019 1:00:00 PM,5/31/2019 1:00:00 PM,20,,period:,5/3/2019 1:00:00 PM,#7b7b2a,Desarrollo,,5/31/2019 1:00:00 PM,20,ITERACIÓN 4
3.1,Dividir en Iteraciones,,,5/31/2019 1:00:00 PM,6/21/2019 5:00:00 PM,15.5,,period:,5/31/2019 1:00:00 PM,#5fb5d5,Memoria,,6/21/2019 5:00:00 PM,15.5,MEMORIA
4,Desarrollo 1 Iteración,8 Febrero,8 Marzo,,,,
5,Desarrollo 2 Iteración,8 Marzo,5 Abril,,,,
6,Desarrollo 3 Iteración,5 Abril,3 Mayo,,,,
7,Desarrollo 4 Iteración,3 Mayo,31 Mayo,,,,
8,Memoria,31 Mayo,21 Junio,,,,
